//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-4-2026
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.05, 22.09
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
661	16.76	168 	3.228
662	16.77	168 	3.232
663	16.79	168 	3.237
664	16.80	168 	3.242
665	16.82	168 	3.247
666	16.83	168 	3.252
667	16.85	168 	3.257
668	16.86	169 	3.262
669	16.88	169 	3.267
670	16.89	169 	3.271
671	16.91	169 	3.276
672	16.92	169 	3.281
673	16.93	169 	3.286
674	16.95	169 	3.291
675	16.96	170 	3.296
676	16.98	170 	3.301
677	16.99	170 	3.306
678	17.01	170 	3.311
679	17.02	170 	3.315
680	17.04	170 	3.320
681	17.05	171 	3.325
682	17.07	171 	3.330
683	17.08	171 	3.335
684	17.10	171 	3.340
685	17.11	171 	3.345
686	17.13	171 	3.350
687	17.14	171 	3.354
688	17.16	172 	3.359
689	17.17	172 	3.364
690	17.18	172 	3.369
691	17.20	172 	3.374
692	17.21	172 	3.379
693	17.23	172 	3.384
694	17.24	172 	3.389
695	17.26	173 	3.394
696	17.27	173 	3.398
697	17.29	173 	3.403
698	17.30	173 	3.408
699	17.32	173 	3.413
700	17.33	173 	3.418
701	17.35	173 	3.423
702	17.36	174 	3.428
703	17.38	174 	3.433
704	17.39	174 	3.438
705	17.40	174 	3.442
706	17.42	174 	3.447
707	17.43	174 	3.452
708	17.45	174 	3.457
709	17.46	175 	3.462
710	17.48	175 	3.467
711	17.49	175 	3.472
712	17.51	175 	3.477
713	17.52	175 	3.481
714	17.54	175 	3.486
715	17.55	176 	3.491
716	17.57	176 	3.496
717	17.58	176 	3.501
718	17.60	176 	3.506
719	17.61	176 	3.511
720	17.63	176 	3.516
721	17.64	176 	3.521
722	17.65	177 	3.525
723	17.67	177 	3.530
724	17.68	177 	3.535
725	17.70	177 	3.540
726	17.71	177 	3.545
727	17.73	177 	3.550
728	17.74	177 	3.555
729	17.76	178 	3.560
730	17.77	178 	3.564
731	17.79	178 	3.569
732	17.80	178 	3.574
733	17.82	178 	3.579
734	17.83	178 	3.584
735	17.85	178 	3.589
736	17.86	179 	3.594
737	17.87	179 	3.599
738	17.89	179 	3.604
739	17.90	179 	3.608
740	17.92	179 	3.613
741	17.93	179 	3.618
742	17.95	179 	3.623
743	17.96	180 	3.628
744	17.98	180 	3.633
745	17.99	180 	3.638
746	18.01	180 	3.643
747	18.02	180 	3.647
748	18.04	180 	3.652
749	18.05	181 	3.657
750	18.07	181 	3.662
751	18.08	181 	3.667
752	18.10	181 	3.672
753	18.11	181 	3.677
754	18.12	181 	3.682
755	18.14	181 	3.687
756	18.15	182 	3.691
757	18.17	182 	3.696
758	18.18	182 	3.701
759	18.20	182 	3.706
760	18.21	182 	3.711
